Dimension.SITE_NAME,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_IMPRESSIONS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CLICKS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CTR,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_REVENUE,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_AVERAGE_ECPM,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_PERCENT_IMPRESSIONS
aymey.villagonzalez.xyz,95,9,0.0947,370897,3904175,1.0000
chiquita.villagonzalez.xyz,105,12,0.1143,919710,8759141,1.0000
sensibilidad.villagonzalez.xyz,57,4,0.0702,548569,9624022,1.0000
thesakura.villagonzalez.xyz,225,44,0.1956,2155896,9581760,1.0000
tiayoshy.villagonzalez.xyz,9,0,0.0000,6477,719647,1.0000
tilindiamantes.villagonzalez.xyz,89,13,0.1461,526301,5913496,1.0000
waderlinff.villagonzalez.xyz,1,0,0.0000,1105,1104804,1.0000
