Dimension.SITE_NAME,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_IMPRESSIONS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CLICKS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CTR,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_REVENUE,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_AVERAGE_ECPM,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_PERCENT_IMPRESSIONS
aymey.villagonzalez.xyz,131,7,0.0534,569833,4349867,1.0000
bienvenidoff.villagonzalez.xyz,9,1,0.1111,22489,2498765,1.0000
chiquita.villagonzalez.xyz,301,41,0.1362,2453133,8149944,1.0000
sensibilidad.villagonzalez.xyz,114,12,0.1053,1551367,13608479,1.0000
thesakura.villagonzalez.xyz,529,85,0.1607,3982921,7529152,1.0000
tiayoshy.villagonzalez.xyz,3,1,0.3333,15926,5308820,1.0000
tilindiamantes.villagonzalez.xyz,145,26,0.1793,1711395,11802726,1.0000
waderlinff.villagonzalez.xyz,15,3,0.2000,47172,3144812,1.0000
